Bone,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Right Controller,12:08:30.9313420,1.089468,-0.7789752,2.790037,351.093,94.88347,354.3704
Left Controller,12:08:30.9383290,1.090261,-0.8105522,3.078976,8.406306,89.37682,9.058927
Right Controller,12:08:30.9384340,1.089639,-0.7791516,2.789865,351.2456,94.90123,354.2477
Left Controller,12:08:30.9438840,1.090261,-0.8105522,3.078976,8.406306,89.37682,9.058927
Right Controller,12:08:30.9439510,1.089639,-0.7791516,2.789865,351.2456,94.90123,354.2477
Left Controller,12:08:30.9459600,1.090048,-0.8104527,3.078265,8.412676,89.90411,9.371703
Right Controller,12:08:30.9460490,1.089755,-0.7793134,2.789713,351.3528,94.95615,354.2076
Left Controller,12:08:30.9564930,1.090048,-0.8104527,3.078265,8.412676,89.90411,9.371703
Right Controller,12:08:30.9565610,1.089755,-0.7793134,2.789713,351.3528,94.95615,354.2076
Left Controller,12:08:30.9589120,1.089937,-0.810441,3.07775,8.381296,90.0541,9.235632
Right Controller,12:08:30.9590120,1.089925,-0.779568,2.789475,351.4998,95.0799,354.2011
Left Controller,12:08:30.9710680,1.089937,-0.810441,3.07775,8.381296,90.0541,9.235632
Right Controller,12:08:30.9711970,1.089925,-0.779568,2.789475,351.4998,95.0799,354.2011
Left Controller,12:08:30.9734870,1.089966,-0.8105512,3.077513,8.34315,89.89597,8.84742
Right Controller,12:08:30.9735650,1.089947,-0.7796543,2.789354,351.5386,95.14809,354.2116
Left Controller,12:08:30.9875380,1.089966,-0.8105512,3.077513,8.34315,89.89597,8.84742
Right Controller,12:08:30.9876080,1.089947,-0.7796543,2.789354,351.5386,95.14809,354.2116
Left Controller,12:08:30.9903000,1.090172,-0.8107569,3.077802,8.363506,89.35882,8.25557
Right Controller,12:08:30.9903870,1.089857,-0.7795969,2.789335,351.5027,95.14175,354.1853
Left Controller,12:08:31.0037920,1.090172,-0.8107569,3.077802,8.363506,89.35882,8.25557
Right Controller,12:08:31.0038620,1.089857,-0.7795969,2.789335,351.5027,95.14175,354.1853
Left Controller,12:08:31.0057890,1.090417,-0.8109072,3.078321,8.406922,88.86608,7.873956
Right Controller,12:08:31.0058750,1.089657,-0.7794068,2.789387,351.3843,95.0915,354.14
Left Controller,12:08:31.0199740,1.090417,-0.8109072,3.078321,8.406922,88.86608,7.873956
Right Controller,12:08:31.0200530,1.089657,-0.7794068,2.789387,351.3843,95.0915,354.14
Left Controller,12:08:31.0227760,1.090441,-0.8109387,3.07837,8.418643,88.79301,7.797335
